driverStandingsId,driverId,points,position,wins
12938,31,23.0,5,0
12937,18,16.0,7,0
12936,8,27.0,4,0
12935,30,43.0,2,2
12934,4,64.0,1,4
12979,36,0.0,23,0
12978,34,0.0,22,0
12977,27,0.0,19,0
12976,35,7.0,12,0
12975,21,32.0,4,1
12974,11,0.0,21,0
12973,33,0.0,20,0
12972,15,0.0,16,0
12971,22,13.0,8,0
12970,23,8.0,10,0
12969,26,0.0,17,0
12968,2,10.0,9,0
12967,24,0.0,18,0
12966,14,7.0,11,0
12965,13,24.0,6,0
12964,32,1.0,15,0
12963,3,4.0,14,0
12962,17,6.0,13,0
12961,31,26.0,5,0
12960,18,16.0,7,0
12959,8,33.0,3,0
12958,30,51.0,2,2
12957,4,74.0,1,5
13002,36,0.0,23,0
13001,34,0.0,22,0
13000,27,0.0,19,0
12999,35,7.0,12,0
12998,21,37.0,4,1
12997,11,0.0,21,0
12996,33,0.0,20,0
12995,15,3.0,15,0
12994,22,13.0,8,0
12993,23,8.0,10,0
12992,26,0.0,17,0
12991,2,12.0,9,0
12990,24,0.0,18,0
12989,14,8.0,11,0
12988,13,28.0,5,0
12987,32,1.0,16,0
12986,3,4.0,14,0
12985,17,6.0,13,0
12984,31,26.0,6,0
12983,18,16.0,7,0
12982,8,39.0,3,0
12981,30,59.0,2,2
12980,4,84.0,1,6
13025,36,0.0,23,0
13024,34,0.0,22,0
13023,27,0.0,19,0
13022,35,7.0,13,0
13021,21,43.0,3,1
13020,11,0.0,21,0
13019,33,0.0,20,0
13018,15,8.0,12,0
13017,22,16.0,8,0
13016,23,8.0,11,0
13015,26,0.0,18,0
13014,2,12.0,9,0
13013,24,1.0,16,0
13012,14,10.0,10,0
13011,13,36.0,5,0
13010,32,1.0,17,0
13009,3,4.0,15,0
13008,17,6.0,14,0
13007,31,26.0,6,0
13006,18,16.0,7,0
13005,8,39.0,4,0
13004,30,69.0,2,3
13003,4,88.0,1,6
13049,37,2.0,16,0
13048,36,0.0,24,0
13047,34,0.0,23,0
13046,27,0.0,20,0
13045,35,7.0,13,0
13044,21,46.0,3,1
13043,11,0.0,22,0
13042,33,0.0,21,0
13041,15,8.0,12,0
13040,22,16.0,8,0
13039,23,13.0,9,0
13038,26,0.0,19,0
13037,2,13.0,10,0
13036,24,1.0,17,0
13035,14,10.0,11,0
13034,13,42.0,5,0
13033,32,1.0,18,0
13032,3,4.0,15,0
13031,17,6.0,14,0
